payment_id,borrower_id,due_date,payment_date,status,,,,,,
1,1,2023-01-15,2023-01-14,on_time,,,,,,
2,1,2023-02-15,2023-02-18,missed,,,,,,
3,1,2023-03-15,2023-03-15,on_time,,,,,,
4,1,2023-04-15,2023-04-25,missed,,,,,,
5,1,2023-05-15,2023-05-28,missed,,,,,,
6,1,2023-06-15,2023-06-15,on_time,,,,,,
7,2,2023-01-10,2023-01-10,on_time,,,,,,
8,2,2023-02-10,2023-02-10,on_time,,,,,,
9,2,2023-03-10,2023-03-09,on_time,,,,,,
10,2,2023-04-10,2023-04-10,on_time,,,,,,
11,2,2023-05-10,2023-05-11,missed,,,,,,
12,3,2023-03-20,2023-05-20,missed,,,,,,
13,3,2023-04-20,2023-06-25,missed,,,,,,
14,3,2023-05-20,2023-08-01,missed,,,,,,
15,3,2023-06-20,,due,,,,,,
16,3,2023-07-20,,due,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
